spkid,full_name,diameter,class,q,e,i,om,w,ma,epoch
2000617,617Patroclus1906VY,140.362,TJN,4.493796689791224,0.11236203565420874,9.685360026743076,329.97325153118237,2.7228292706186608,171.92788150679036,59000
2000884,884Priamus1917CQ,101.093,TJN,4.546078963802434,0.2852142919229748,6.036277413854731,342.07689866202963,238.87384048808286,352.0150555293521,59000
2001172,1172Aneas1930UA,118.020,TJN,4.674157513868082,0.21959818254342153,7.078636648718813,1.5876482329117136,328.84560864968824,294.0623684509863,59000
2001173,1173Anchises1930UB,99.549,TJN,4.5613684724846175,0.17959754525911098,10.750871740221758,114.1470112954883,127.7164643994208,287.2419554973993,59000
2001208,1208Troilus1931YA,100.477,TJN,4.772450236900006,0.04680559213273095,13.14459044500191,301.45609060748166,113.0605566421052,210.1367546181518,59000
2001867,1867Deiphobus1971EA,118.220,TJN,4.899751338416115,0.04679835610086079,4.083282012596635,193.1202739265527,225.370751354118,166.01409343677702,59000
2001870,1870Glaukos1971FE,47.649,TJN,5.073025440948848,0.017425083650459836,5.131151939566061,290.703144053575,118.27874356469506,322.05985079335926,59000
2001871,1871Astyanax1971FF,27.828,TJN,5.062891428256114,0.2598528437324805,13.96109094543619,307.19638182165767,144.87061517154402,289.6405061713956,59000
2001872,1872Helenos1971FG,34.046,TJN,5.063976628762903,0.18033450352296262,8.67767688614168,159.3454391788762,98.32195471078343,186.04400664040898,59000
2001873,1873Agenor1971FH,50.799,TJN,4.74605489260539,0.21242177333881365,2.6844272570250154,129.2338576889228,124.16011426041678,97.37668871065766,59000
2002207,2207Antenor1977QH1,97.658,TJN,5.067414673409659,0.006175348288740734,9.955427083685741,163.95597577818918,244.58782047520594,53.020585424328,59000
2002223,2223Sarpedon1977TL3,77.480,TJN,5.154181538747256,0.29097295564859826,14.861432333090695,235.00627294473585,332.0550671134265,198.9740550796648,59000
2002241,2241Alcathous1979WM,113.682,TJN,4.831606923157385,0.2497327922401265,12.351803467056001,132.1772950392546,209.921571257748,106.5708071344619,59000
2002357,2357Phereclos1981AC,94.625,TJN,4.9737867256155255,0.06370173320348284,11.186117048271042,278.995783931191,3.612041614198689,95.11768301509431,59000
2002363,2363Cebriones1977TJ3,95.976,TJN,5.0183949870679125,0.05454749016213018,3.1206998139940385,325.43740572660806,95.00132224755482,38.08304436985892,59000
2002594,2594Acamas1978TB,25.874,TJN,4.627218721974297,0.055021352956030146,13.142096770260109,101.63203277714155,342.8058703148818,12.410179160996044,59000
2002674,2674Pandarus1982BC3,74.267,TJN,4.823845099583792,0.09127267288786131,7.8868326530331965,347.3962719027262,327.7158349788371,282.0073761249192,59000
2002893,2893Peiroos1975QD,86.884,TJN,4.750825878794727,0.15742692948967135,13.339350331079334,224.1810888211118,41.63300625619876,38.87462401928588,59000
2002895,2895Memnon1981AE1,56.706,TJN,4.985725046670376,0.12958350559263473,4.94741744137319,316.14075763910677,327.03014270423796,319.8994079988277,59000
